,carat,depth,table,price,cut_encoded,color_encoded,clarity_encoded,carat_bins
1,0.21,59.8,61.0,326,3,5,2,"(0.197, 0.46]"
2,0.23,56.9,65.0,327,1,5,4,"(0.197, 0.46]"
7,0.26,61.9,55.0,337,2,2,2,"(0.197, 0.46]"
10,0.3,64.0,55.0,339,1,0,2,"(0.197, 0.46]"
11,0.23,62.8,56.0,340,4,0,4,"(0.197, 0.46]"
17,0.3,63.4,54.0,351,1,0,2,"(0.197, 0.46]"
18,0.3,63.8,56.0,351,1,0,2,"(0.197, 0.46]"
20,0.3,63.3,56.0,351,1,1,1,"(0.197, 0.46]"
21,0.23,63.8,55.0,352,2,5,3,"(0.197, 0.46]"
22,0.23,61.0,57.0,353,2,2,4,"(0.197, 0.46]"
23,0.31,59.4,62.0,353,2,0,2,"(0.197, 0.46]"
27,0.3,62.2,57.0,357,2,0,3,"(0.197, 0.46]"
28,0.23,60.5,61.0,357,2,6,3,"(0.197, 0.46]"
34,0.23,61.9,58.0,402,2,6,4,"(0.197, 0.46]"
37,0.31,64.0,54.0,402,1,2,2,"(0.197, 0.46]"
44,0.32,63.1,56.0,403,1,2,1,"(0.197, 0.46]"
45,0.29,62.4,58.0,403,3,4,2,"(0.197, 0.46]"
46,0.32,61.8,55.0,403,2,2,1,"(0.197, 0.46]"
48,0.25,63.3,60.0,404,2,5,3,"(0.197, 0.46]"
50,0.24,60.9,61.0,404,2,4,2,"(0.197, 0.46]"
51,0.23,61.9,54.0,404,4,3,4,"(0.197, 0.46]"
55,0.3,61.0,59.0,405,4,1,1,"(0.197, 0.46]"
59,0.3,63.2,55.0,405,1,1,2,"(0.197, 0.46]"
60,0.35,60.9,57.0,552,4,1,4,"(0.197, 0.46]"
64,0.42,61.5,59.0,552,3,1,1,"(0.197, 0.46]"
65,0.28,61.4,56.0,553,4,3,5,"(0.197, 0.46]"
66,0.32,62.0,55.3,553,4,1,6,"(0.197, 0.46]"
67,0.31,63.3,57.0,553,2,3,2,"(0.197, 0.46]"
68,0.31,61.8,58.0,553,3,3,2,"(0.197, 0.46]"
69,0.24,60.7,58.0,553,3,5,6,"(0.197, 0.46]"
71,0.3,63.1,56.0,554,2,2,2,"(0.197, 0.46]"
74,0.3,63.7,57.0,554,1,2,2,"(0.197, 0.46]"
79,0.26,62.6,59.0,554,2,5,6,"(0.197, 0.46]"
81,0.26,62.1,60.0,554,2,6,6,"(0.197, 0.46]"
83,0.38,61.6,56.0,554,4,1,1,"(0.197, 0.46]"
87,0.24,60.8,59.0,554,3,2,6,"(0.197, 0.46]"
93,0.71,62.4,57.0,2759,2,5,3,"(0.46, 0.72]"
98,0.73,61.6,59.0,2760,2,5,2,"(0.72, 0.98]"
100,0.75,63.2,56.0,2760,2,6,2,"(0.72, 0.98]"
102,0.74,61.6,55.0,2760,4,3,2,"(0.72, 0.98]"
105,0.75,62.2,55.0,2760,4,3,2,"(0.72, 0.98]"
107,0.74,62.3,55.0,2761,4,1,5,"(0.72, 0.98]"
110,0.8,61.4,57.0,2761,4,4,1,"(0.72, 0.98]"
114,0.73,62.6,56.0,2762,4,4,3,"(0.72, 0.98]"
115,0.73,62.7,53.0,2762,4,4,3,"(0.72, 0.98]"
116,0.8,61.7,58.0,2762,3,4,1,"(0.72, 0.98]"
118,0.7,60.7,58.0,2762,4,5,3,"(0.46, 0.72]"
119,0.8,59.9,59.0,2762,4,4,1,"(0.72, 0.98]"
120,0.71,62.3,56.0,2762,4,6,1,"(0.46, 0.72]"
121,0.74,62.3,54.0,2762,4,5,2,"(0.72, 0.98]"
124,0.7,65.3,55.0,2762,0,4,3,"(0.46, 0.72]"
130,0.77,62.0,56.0,2763,4,2,3,"(0.72, 0.98]"
131,0.71,63.6,58.0,2764,2,6,2,"(0.46, 0.72]"
134,0.77,61.3,60.0,2765,2,2,4,"(0.72, 0.98]"
135,0.63,60.9,60.0,2765,3,5,6,"(0.46, 0.72]"
138,0.76,61.2,57.0,2765,4,2,2,"(0.72, 0.98]"
139,0.64,61.9,56.0,2766,4,3,6,"(0.46, 0.72]"
140,0.71,60.9,57.0,2766,3,3,3,"(0.46, 0.72]"
142,0.7,61.8,55.0,2767,2,6,3,"(0.46, 0.72]"
144,0.71,61.6,55.0,2767,4,6,1,"(0.46, 0.72]"
147,0.73,60.2,56.0,2768,2,6,2,"(0.72, 0.98]"
149,0.7,60.9,57.0,2768,4,5,2,"(0.46, 0.72]"
151,0.74,61.3,56.0,2769,4,1,2,"(0.72, 0.98]"
153,0.73,61.4,59.0,2770,3,3,3,"(0.72, 0.98]"
156,0.71,60.7,56.0,2770,4,4,2,"(0.46, 0.72]"
161,0.72,60.3,56.0,2771,2,2,5,"(0.46, 0.72]"
