,carat,depth,table,price,cut_encoded,color_encoded,clarity_encoded
0,0.23,61.5,55.0,326,4,5,1
1,0.21,59.8,61.0,326,3,5,2
2,0.23,56.9,65.0,327,1,5,4
3,0.29,62.4,58.0,334,3,1,3
4,0.31,63.3,58.0,335,1,0,1
5,0.24,62.8,57.0,336,2,0,5
6,0.24,62.3,57.0,336,2,1,6
7,0.26,61.9,55.0,337,2,2,2
8,0.22,65.1,61.0,337,0,5,3
9,0.23,59.4,61.0,338,2,2,4
10,0.3,64.0,55.0,339,1,0,2
11,0.23,62.8,56.0,340,4,0,4
12,0.22,60.4,61.0,342,3,4,2
13,0.31,62.2,54.0,344,4,0,1
14,0.2,60.2,62.0,345,3,5,1
15,0.32,60.9,58.0,345,3,5,0
16,0.3,62.0,54.0,348,4,1,1
17,0.3,63.4,54.0,351,1,0,2
18,0.3,63.8,56.0,351,1,0,2
19,0.3,62.7,59.0,351,2,0,2
20,0.3,63.3,56.0,351,1,1,1
21,0.23,63.8,55.0,352,2,5,3
22,0.23,61.0,57.0,353,2,2,4
23,0.31,59.4,62.0,353,2,0,2
24,0.31,58.1,62.0,353,2,0,2
25,0.23,60.4,58.0,354,2,3,5
26,0.24,62.5,57.0,355,3,1,4
27,0.3,62.2,57.0,357,2,0,3
28,0.23,60.5,61.0,357,2,6,3
29,0.23,60.9,57.0,357,2,4,4
30,0.23,60.0,57.0,402,2,4,4
31,0.23,59.8,57.0,402,2,4,4
32,0.23,60.7,59.0,402,2,5,4
33,0.23,59.5,58.0,402,2,5,4
34,0.23,61.9,58.0,402,2,6,4
35,0.23,58.2,59.0,402,1,4,4
36,0.23,64.1,59.0,402,1,5,4
37,0.31,64.0,54.0,402,1,2,2
38,0.26,60.8,59.0,403,2,6,3
39,0.33,61.8,55.0,403,4,1,1
40,0.33,61.2,56.0,403,4,1,1
41,0.33,61.1,56.0,403,4,0,2
42,0.26,65.2,56.0,403,1,6,3
43,0.26,58.4,63.0,403,1,6,4
44,0.32,63.1,56.0,403,1,2,1
45,0.29,62.4,58.0,403,3,4,2
46,0.32,61.8,55.0,403,2,2,1
47,0.32,63.8,56.0,403,1,2,1
48,0.25,63.3,60.0,404,2,5,3
49,0.29,60.7,60.0,404,2,2,1
50,0.24,60.9,61.0,404,2,4,2
51,0.23,61.9,54.0,404,4,3,4
52,0.32,60.9,55.0,404,4,1,2
53,0.22,61.6,58.0,404,3,5,3
54,0.22,59.3,62.0,404,3,6,3
55,0.3,61.0,59.0,405,4,1,1
56,0.3,59.3,61.0,405,3,0,1
57,0.3,62.6,57.0,405,2,1,2
58,0.3,63.0,57.0,405,2,1,2
59,0.3,63.2,55.0,405,1,1,2
